device,N,depth,success_prob
ring_N8,8,5,0.003759765625
ring_N8,8,10,0.0044921875
ring_N8,8,15,0.003955078125
ring_N8,8,20,0.003515625
ring_N10,10,5,0.00068359375
ring_N10,10,10,0.001318359375
ring_N10,10,15,0.000439453125
ring_N10,10,20,0.001318359375
ring_N12,12,5,4.8828125e-05
ring_N12,12,10,4.8828125e-05
ring_N12,12,15,0.000244140625
ring_N12,12,20,9.765625e-05
ring_N14,14,5,9.765625e-05
ring_N14,14,10,0.0
ring_N14,14,15,0.0
ring_N14,14,20,0.000146484375
grid_N9,9,5,0.001611328125
grid_N9,9,10,0.0013671875
grid_N9,9,15,0.00185546875
grid_N9,9,20,0.0029296875
grid_N9,9,5,0.001904296875
grid_N9,9,10,0.001806640625
grid_N9,9,15,0.00166015625
grid_N9,9,20,0.00234375
grid_N9,9,5,0.00048828125
grid_N9,9,10,0.000927734375
grid_N9,9,15,0.001318359375
grid_N9,9,20,0.001513671875
grid_N16,16,5,0.0
grid_N16,16,10,4.8828125e-05
grid_N16,16,15,0.0
grid_N16,16,20,9.765625e-05
random_regular_4_N8,8,5,0.00498046875
random_regular_4_N8,8,10,0.0046875
random_regular_4_N8,8,15,0.0037109375
random_regular_4_N8,8,20,0.003466796875
random_regular_4_N10,10,5,0.000390625
random_regular_4_N10,10,10,0.00146484375
random_regular_4_N10,10,15,0.000439453125
random_regular_4_N10,10,20,0.00146484375
random_regular_4_N12,12,5,0.00029296875
random_regular_4_N12,12,10,0.000341796875
random_regular_4_N12,12,15,0.0001953125
random_regular_4_N12,12,20,0.000244140625
random_regular_4_N14,14,5,0.0
random_regular_4_N14,14,10,4.8828125e-05
random_regular_4_N14,14,15,4.8828125e-05
random_regular_4_N14,14,20,4.8828125e-05
small_world_N8,8,5,0.0025390625
small_world_N8,8,10,0.005078125
small_world_N8,8,15,0.004248046875
small_world_N8,8,20,0.003369140625
small_world_N10,10,5,0.001904296875
small_world_N10,10,10,0.00068359375
small_world_N10,10,15,0.001318359375
small_world_N10,10,20,0.00078125
small_world_N12,12,5,0.000390625
small_world_N12,12,10,0.0005859375
small_world_N12,12,15,0.000341796875
small_world_N12,12,20,4.8828125e-05
small_world_N14,14,5,9.765625e-05
small_world_N14,14,10,0.000146484375
small_world_N14,14,15,0.0
small_world_N14,14,20,0.0001953125
erdos_renyi_N8,8,5,0.004150390625
erdos_renyi_N8,8,10,0.002197265625
erdos_renyi_N8,8,15,0.003955078125
erdos_renyi_N8,8,20,0.004052734375
erdos_renyi_N10,10,5,0.00126953125
erdos_renyi_N10,10,10,0.001123046875
erdos_renyi_N10,10,15,0.000732421875
erdos_renyi_N10,10,20,0.00087890625
erdos_renyi_N12,12,5,0.00029296875
erdos_renyi_N12,12,10,9.765625e-05
erdos_renyi_N12,12,15,0.000537109375
erdos_renyi_N12,12,20,0.000341796875
erdos_renyi_N14,14,5,0.0
erdos_renyi_N14,14,10,0.0
erdos_renyi_N14,14,15,4.8828125e-05
erdos_renyi_N14,14,20,0.0
