device,N,depth,success_prob
ring_N8,8,5,0.0030805190057313684
ring_N8,8,10,0.001916570303854068
ring_N8,8,20,0.000969003203309479
ring_N10,10,5,0.008077586478576653
ring_N10,10,10,0.0003758250431167741
ring_N10,10,20,0.00014463433014653453
ring_N12,12,5,0.00043556753356845346
ring_N12,12,10,0.0
ring_N12,12,20,0.0
ring_N14,14,5,0.0
ring_N14,14,10,0.0
ring_N14,14,20,8.136869480491144e-05
grid_N9,9,5,0.0011319410106924335
grid_N9,9,10,0.0001457823802808784
grid_N9,9,20,6.528768737390178e-05
grid_N9,9,5,0.0
grid_N9,9,10,0.00029156476056175725
grid_N9,9,20,1.450837497197821e-05
grid_N9,9,5,0.0002515424468205409
grid_N9,9,10,0.0001943765070411714
grid_N9,9,20,1.4508374971978197e-05
grid_N16,16,5,0.0
grid_N16,16,10,0.0
grid_N16,16,20,0.0
random_regular_4_N8,8,5,0.0013402124779183509
random_regular_4_N8,8,10,9.809480286033487e-05
random_regular_4_N8,8,20,7.390149387423714e-06
random_regular_4_N10,10,5,0.0005598200354968822
random_regular_4_N10,10,10,3.851040425702159e-05
random_regular_4_N10,10,20,1.3667800191337512e-05
random_regular_4_N12,12,5,0.0001303734499694589
random_regular_4_N12,12,10,0.0
random_regular_4_N12,12,20,5.234802289699564e-07
random_regular_4_N14,14,5,0.0
random_regular_4_N14,14,10,1.7133910029566257e-05
random_regular_4_N14,14,20,0.0
small_world_N8,8,5,0.0006640156868985887
small_world_N8,8,10,0.00025083268690341234
small_world_N8,8,20,1.1167354588493262e-05
small_world_N10,10,5,0.0005486010461302317
small_world_N10,10,10,0.00029585877350663903
small_world_N10,10,20,4.201555865320931e-06
small_world_N12,12,5,0.0
small_world_N12,12,10,0.0
small_world_N12,12,20,9.95528931649809e-06
small_world_N14,14,5,0.0
small_world_N14,14,10,0.0
small_world_N14,14,20,0.0
erdos_renyi_N8,8,5,0.0005068412424977611
erdos_renyi_N8,8,10,0.0007575936715555039
erdos_renyi_N8,8,20,5.5099024433371086e-05
erdos_renyi_N10,10,5,0.0001468625060305959
erdos_renyi_N10,10,10,0.0
erdos_renyi_N10,10,20,3.3716880082534225e-06
erdos_renyi_N12,12,5,9.40490481250477e-05
erdos_renyi_N12,12,10,2.717252644831499e-05
erdos_renyi_N12,12,20,6.804598520073625e-06
erdos_renyi_N13,13,5,7.930211162440242e-05
erdos_renyi_N13,13,10,1.9319270117649967e-05
erdos_renyi_N13,13,20,0.0
