device,N,depth,success_prob
ring_N16,16,5,0.0
ring_N16,16,10,0.0
ring_N20,20,5,0.0
ring_N20,20,10,0.0
grid_N16,16,5,0.0
grid_N16,16,10,0.0
grid_N16,16,5,0.0
grid_N16,16,10,0.0
random_regular_4_N16,16,5,0.0
random_regular_4_N16,16,10,0.0
random_regular_4_N20,20,5,0.0
random_regular_4_N20,20,10,0.0
small_world_N16,16,5,0.0
small_world_N16,16,10,0.0
small_world_N20,20,5,0.0
small_world_N20,20,10,0.0
erdos_renyi_N16,16,5,0.0
erdos_renyi_N16,16,10,0.0
erdos_renyi_N20,20,5,0.0
erdos_renyi_N20,20,10,0.0
