device,family,N_requested,N_used,lambda2,C,alpha_hat,n_points
erdos_renyi_N10,erdos_renyi,10,10,0.4764877890546201,4.764877890546201,0.030612367104057788,4
erdos_renyi_N12,erdos_renyi,12,11,0.5337934085252295,5.871727493777525,-0.0433440026344043,4
erdos_renyi_N14,erdos_renyi,14,14,0.4505526587761499,6.307737222866098,-0.4922314463151464,4
erdos_renyi_N8,erdos_renyi,8,8,0.7418011102528389,5.934408882022711,-0.010327094376419358,4
grid_N16,grid,16,16,0.21826404002942815,3.4922246404708503,-1.0260517234638866,4
grid_N9,grid,9,9,0.4226497308103741,3.803847577293367,-0.04255238386290612,12
random_regular_4_N10,random_regular_4,10,10,0.4482003441767406,4.4820034417674055,-0.055225894312420566,4
random_regular_4_N12,random_regular_4,12,12,0.5504287150662133,6.605144580794559,0.022131609166345573,4
random_regular_4_N14,random_regular_4,14,14,0.3455330871582446,4.837463220215424,-1.476694338945435,4
random_regular_4_N8,random_regular_4,8,8,0.6464466094067262,5.171572875253809,0.026409873198207392,4
ring_N10,ring,10,10,0.19098300562505263,1.9098300562505264,-0.017434526409982224,4
ring_N12,ring,12,12,0.13397459621556124,1.6076951545867348,-0.07377758908227902,4
ring_N14,ring,14,14,0.09903113209758084,1.3864358493661317,-0.024327906486490792,4
ring_N8,ring,8,8,0.2928932188134524,2.3431457505076194,0.006575146617789581,4
small_world_N10,small_world,10,10,0.3081708537134385,3.081708537134385,0.04032278470561043,4
small_world_N12,small_world,12,12,0.2757555569303067,3.30906668316368,0.13554642251544388,4
small_world_N14,small_world,14,14,0.21239005511881923,2.9734607716634693,0.4726148612549103,4
small_world_N8,small_world,8,8,0.5748579315330459,4.598863452264367,-0.013402111551214294,4
