experiment_type,device,subset_id,qubits,N,lambda2,C,fit_eps,alpha,alpha_stderr,points,timestamp
loschmidt_echo,Ankaa-3,0,"(7, 14, 15, 16, 21, 22, 28)",7,0.4226497308103742,2.9585481156726194,0.001,-0.0004846365907848283,0.00021669515256144808,4,2025-12-18T17:20:36.514324
loschmidt_echo,Ankaa-3,1,"(64, 70, 71, 72, 77, 78, 79)",7,0.4999999999999999,3.499999999999999,0.001,-0.00016363808840963125,0.00040221478735975863,4,2025-12-18T17:21:42.775580
loschmidt_echo,Ankaa-3,2,"(4, 5, 6, 12, 13, 20, 27)",7,0.24565552051542827,1.719588643607998,0.001,5.302816984818949e-05,0.0001510210809442684,4,2025-12-18T17:22:48.715960
loschmidt_echo,Ankaa-3,3,"(59, 65, 66, 72, 73, 74, 80)",7,0.42264973081037405,2.9585481156726186,0.001,4.685384909278892e-05,0.00063068774390473,4,2025-12-18T17:23:58.302958
loschmidt_echo,Ankaa-3,4,"(50, 56, 57, 58, 64, 65, 71)",7,0.42264973081037494,2.9585481156726248,0.001,-5.3043685098885026e-05,0.00044821599255625265,4,2025-12-18T17:25:05.064438
loschmidt_echo,Ankaa-3,5,"(38, 39, 40, 45, 46, 47, 53)",7,0.49999999999999956,3.499999999999997,0.001,-4.255917583915785e-05,7.839101148540032e-05,4,2025-12-18T17:26:10.232798
loschmidt_echo,Ankaa-3,6,"(67, 73, 74, 75, 79, 80, 81)",7,0.35450277563209676,2.481519429424677,0.001,0.002842600552980523,0.0009513047956514834,4,2025-12-18T17:27:15.658980
loschmidt_echo,Ankaa-3,7,"(21, 22, 28, 29, 30, 35, 36)",7,0.49999999999999967,3.499999999999998,0.001,0.00022099449054690108,0.00010766538748904567,4,2025-12-18T17:28:22.406710
loschmidt_echo,Ankaa-3,8,"(47, 53, 54, 55, 61, 62, 69)",7,0.3545027756320972,2.4815194294246803,0.001,-0.0004824392945232881,0.00010418394370883342,4,2025-12-18T17:29:29.883347
loschmidt_echo,Ankaa-3,9,"(21, 28, 29, 35, 36, 37, 43)",7,0.35450277563209687,2.481519429424678,0.001,-0.00046321840825936717,0.00013204794656145426,4,2025-12-18T17:30:37.678252
loschmidt_echo,Ankaa-3,10,"(6, 12, 13, 19, 20, 26, 27)",7,0.3648972679471421,2.5542808756299946,0.001,0.00017124371241529233,0.00019806849993640038,4,2025-12-18T17:31:44.787344
loschmidt_echo,Ankaa-3,11,"(32, 33, 34, 39, 40, 41, 47)",7,0.49999999999999956,3.499999999999997,0.001,0.00034335061193719956,0.00011070982164359667,4,2025-12-18T17:32:51.134109
