experiment_type,device,subset_id,qubits,N,lambda2,C,depth,K,shots,mean_P_return,sem_P_return,timestamp
loschmidt_echo,Ankaa-3,0,"(7, 14, 15, 16, 21, 22, 28)",7,0.4226497308103742,2.9585481156726194,5,5,1000,0.8406,0.00580172388174412,2025-12-18T17:19:43.657502
loschmidt_echo,Ankaa-3,0,"(7, 14, 15, 16, 21, 22, 28)",7,0.4226497308103742,2.9585481156726194,10,5,1000,0.8406,0.006584831053261736,2025-12-18T17:19:59.198056
loschmidt_echo,Ankaa-3,0,"(7, 14, 15, 16, 21, 22, 28)",7,0.4226497308103742,2.9585481156726194,20,5,1000,0.8507999999999999,0.005686826883245177,2025-12-18T17:20:16.280711
loschmidt_echo,Ankaa-3,0,"(7, 14, 15, 16, 21, 22, 28)",7,0.4226497308103742,2.9585481156726194,30,5,1000,0.8488,0.002267156809750929,2025-12-18T17:20:36.508869
loschmidt_echo,Ankaa-3,1,"(64, 70, 71, 72, 77, 78, 79)",7,0.4999999999999999,3.499999999999999,5,5,1000,0.5836,0.007619711280619488,2025-12-18T17:20:50.045452
loschmidt_echo,Ankaa-3,1,"(64, 70, 71, 72, 77, 78, 79)",7,0.4999999999999999,3.499999999999999,10,5,1000,0.58,0.003563705936241095,2025-12-18T17:21:06.601635
loschmidt_echo,Ankaa-3,1,"(64, 70, 71, 72, 77, 78, 79)",7,0.4999999999999999,3.499999999999999,20,5,1000,0.5892,0.006988562083862465,2025-12-18T17:21:22.932719
loschmidt_echo,Ankaa-3,1,"(64, 70, 71, 72, 77, 78, 79)",7,0.4999999999999999,3.499999999999999,30,5,1000,0.583,0.00685565460040105,2025-12-18T17:21:42.775072
loschmidt_echo,Ankaa-3,2,"(4, 5, 6, 12, 13, 20, 27)",7,0.24565552051542827,1.719588643607998,5,5,1000,0.9206,0.004643274706497542,2025-12-18T17:21:57.558424
loschmidt_echo,Ankaa-3,2,"(4, 5, 6, 12, 13, 20, 27)",7,0.24565552051542827,1.719588643607998,10,5,1000,0.923,0.0032710854467592285,2025-12-18T17:22:13.491373
loschmidt_echo,Ankaa-3,2,"(4, 5, 6, 12, 13, 20, 27)",7,0.24565552051542827,1.719588643607998,20,5,1000,0.9176,0.0062976185975335205,2025-12-18T17:22:30.519272
loschmidt_echo,Ankaa-3,2,"(4, 5, 6, 12, 13, 20, 27)",7,0.24565552051542827,1.719588643607998,30,5,1000,0.9212,0.0009165151389911686,2025-12-18T17:22:48.715345
loschmidt_echo,Ankaa-3,3,"(59, 65, 66, 72, 73, 74, 80)",7,0.42264973081037405,2.9585481156726186,5,5,1000,0.5808,0.005624944444170099,2025-12-18T17:23:05.193525
loschmidt_echo,Ankaa-3,3,"(59, 65, 66, 72, 73, 74, 80)",7,0.42264973081037405,2.9585481156726186,10,5,1000,0.5946,0.00258069758011279,2025-12-18T17:23:21.229235
